date,title,url,is_price_related,preprocessed_title,positive_sentiment,negative_sentiment,neutral_sentiment,rise_present,increase_present,jump_present,surge_present,climb_present,fall_present,drop_present,decrease_present,decline_present,plunge_present,weighted_positive_sentiment,weighted_negative_sentiment,predicted_price_direction
2025-03-23,USDA releases 2025 crop production report,https://www.example.com/news/0001,True,usda releases 2025 crop production report,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-01-04,Volatility in futures market drives coffee uncertainty,https://www.example.com/news/0002,True,volatility futures market drives coffee uncertainty,0.0,0.324,0.676,0,0,0,0,0,0,0,0,0,0,0.0,0.324,neutral
2025-02-05,Climate change threatens coffee production long-term,https://www.example.com/news/0003,True,climate change threatens coffee production longterm,0.0,0.342,0.658,0,0,0,0,0,0,0,0,0,0,0.0,0.342,fall
2025-01-29,Shipping delays impact coffee importers,https://www.example.com/news/0004,True,shipping delays impact coffee importers,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-01-14,New USDA undersecretary discusses coffee trade policy,https://www.example.com/news/0005,True,new usda undersecretary discusses coffee trade policy,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-03-11,Robusta export numbers rise sharply in Vietnam,https://www.example.com/news/0006,True,robusta export numbers rise sharply vietnam,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-03-17,Flooding damages key coffee-growing regions,https://www.example.com/news/0007,True,flooding damages key coffeegrowing regions,0.0,0.42,0.58,0,0,0,0,0,0,0,0,0,0,0.0,0.42,fall
2025-01-05,Coffee futures surge after drought hits Brazil,https://www.example.com/news/0008,True,coffee futures surge drought hits brazil,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,neutral
2025-01-12,Rainy season boosts Colombian coffee yields,https://www.example.com/news/0009,True,rainy season boosts colombian coffee yields,0.303,0.171,0.526,0,0,0,0,0,0,0,0,0,0,0.303,0.171,neutral
2025-01-30,Dry weather pushes coffee prices higher,https://www.example.com/news/0010,True,dry weather pushes coffee prices higher,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
