date,title,url,is_price_related,preprocessed_title,positive_sentiment,negative_sentiment,neutral_sentiment,rise_present,increase_present,jump_present,surge_present,climb_present,fall_present,drop_present,decrease_present,decline_present,plunge_present,weighted_positive_sentiment,weighted_negative_sentiment,predicted_price_direction
2025-01-24,NASS 2025-01-24 15:00 Coffee,https://www.nass.usda.gov/Publications/Calendar/calendar-landing.php?year=25&month=01&day=24&report_id=17277&source=d,True,nass 20250124 1500 coffee,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2024-12-18,FAS 2024-12-18 15:00 Coffee: World Markets and Trade,https://fas.usda.gov/data/coffee-world-markets-and-trade,True,fas 20241218 1500 coffee world markets trade,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2024-11-19,Secretary Vilsack Highlights Historic Investments in U.S. Agriculture and Four Years of Climate Progress at COP29,https://www.usda.gov/about-usda/news/press-releases/2024/11/19/secretary-vilsack-highlights-historic-investments-us-agriculture-and-four-years-climate-progress,True,secretary vilsack highlights historic investments us agriculture four years climate progress cop29,0.203,0.0,0.797,0,0,0,0,0,0,0,0,0,0,0.203,0.0,neutral
2024-10-17,USDA Highlights Success of Historic Partnerships for Climate-Smart Commodities Initiative,https://www.usda.gov/about-usda/news/press-releases/2024/10/17/usda-highlights-success-historic-partnerships-climate-smart-commodities-initiative,True,usda highlights success historic partnerships climatesmart commodities initiative,0.346,0.0,0.654,0,0,0,0,0,0,0,0,0,0,0.346,0.0,neutral
2024-08-13,"Coffee Is Hot Commodity, Even During This Record Hot Summer",https://www.usda.gov/about-usda/news/radio/weekly-features/2024-08-13/coffee-hot-commodity-even-during-record-hot-summer,True,coffee hot commodity even record hot summer,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,fall
2024-06-20,FAS 2024-06-20 15:00 Coffee: World Markets and Trade,https://fas.usda.gov/data/coffee-world-markets-and-trade,True,fas 20240620 1500 coffee world markets trade,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2024-03-26,Community Cause Behind Hawaiian Women's Coffee Collaborations,https://www.usda.gov/about-usda/news/radio/weekly-features/2024-03-26/community-cause-behind-hawaiian-womens-coffee-collaborations,True,community cause behind hawaiian womens coffee collaborations,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2024-03-08,A Family Brew – Celebrating Mother-Daughter Coffee Farmer on International Women’s Day,https://www.usda.gov/about-usda/news/blog/family-brew-celebrating-mother-daughter-coffee-farmer-international-womens-day,True,family brew celebrating motherdaughter coffee farmer international womens day,0.316,0.0,0.684,0,0,0,0,0,0,0,0,0,0,0.316,0.0,neutral
2024-03-07,Community Cause Behind Hawaiian Women's Coffee Collaborations,https://www.usda.gov/about-usda/news/radio/daily-newsline/2024-03-07/community-cause-behind-hawaiian-womens-coffee-collaborations,True,community cause behind hawaiian womens coffee collaborations,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2024-03-07,Actuality: Growing a Business and Community Collaboration with Coffee,https://www.usda.gov/about-usda/news/radio/daily-newsline/2024-03-07/actuality-growing-business-and-community-collaboration-coffee,True,actuality growing business community collaboration coffee,0.254,0.0,0.746,0,0,0,0,0,0,0,0,0,0,0.254,0.0,neutral
