date,title,url,is_price_related,preprocessed_title,positive_sentiment,negative_sentiment,neutral_sentiment,rise_present,increase_present,jump_present,surge_present,climb_present,fall_present,drop_present,decrease_present,decline_present,plunge_present,weighted_positive_sentiment,weighted_negative_sentiment,predicted_price_direction
2025-05-11,"Secretary Rollins Suspends Live Animal Imports Through Ports of Entry Along Southern Border, Effective Immediately",https://www.usda.gov/about-usda/news/press-releases/2025/05/11/secretary-rollins-suspends-live-animal-imports-through-ports-entry-along-southern-border-effective,True,secretary rollins suspends live animal imports ports entry along southern border effective immediately,0.205,0.0,0.795,0,0,0,0,0,0,0,0,0,0,0.205,0.0,neutral
2025-01-08,Fact Sheet: Biden-Harris Administration Advances Agricultural Exports in Support of the U.S. Economy,https://www.usda.gov/about-usda/news/press-releases/2025/01/08/fact-sheet-biden-harris-administration-advances-agricultural-exports-support-us-economy,True,fact sheet bidenharris administration advances agricultural exports support us economy,0.231,0.0,0.769,0,0,0,0,0,0,0,0,0,0,0.231,0.0,neutral
2025-01-08,USDA Announces Grants and Technical Assistance Funding for Urban Agriculture and Innovative Production,https://www.usda.gov/about-usda/news/press-releases/2025/01/08/usda-announces-grants-and-technical-assistance-funding-urban-agriculture-and-innovative-production,True,usda announces grants technical assistance funding urban agriculture innovative production,0.375,0.0,0.625,0,0,0,0,0,0,0,0,0,0,0.375,0.0,neutral
2024-07-18,Biden-Harris Administration Announces $90 Million in Innovative Projects that Help Conserve Natural Resources and Address Climate Change as Part of Investing in America Agenda,https://www.usda.gov/about-usda/news/press-releases/2024/07/18/biden-harris-administration-announces-90-million-innovative-projects-help-conserve-natural-resources,True,bidenharris administration announces 90 million innovative projects help conserve natural resources address climate change part investing america agenda,0.351,0.0,0.649,0,0,0,0,0,0,0,0,0,0,0.351,0.0,neutral
2024-06-26,USDA Publishes Request for Information on the Production of Biofuel Feedstocks Using Climate-Smart Practices,https://www.usda.gov/about-usda/news/press-releases/2024/06/26/usda-publishes-request-information-production-biofuel-feedstocks-using-climate-smart-practices,True,usda publishes request information production biofuel feedstocks using climatesmart practices,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2024-04-03,USDA Makes $1.5 Billion Available to Help Farmers Advance Conservation and Climate-Smart Agriculture as Part of President Biden’s Investing in America Agenda,https://www.usda.gov/about-usda/news/press-releases/2024/04/03/usda-makes-15-billion-available-help-farmers-advance-conservation-and-climate-smart-agriculture-part,True,usda makes 15 billion available help farmers advance conservation climatesmart agriculture part president bidens investing america agenda,0.144,0.0,0.856,0,0,0,0,0,0,0,0,0,0,0.144,0.0,neutral
2024-01-10,USDA Partners with Pennsylvania to Award More Than $26 Million to Strengthen Food Supply Chain Infrastructure,https://www.usda.gov/about-usda/news/press-releases/2024/01/10/usda-partners-pennsylvania-award-more-26-million-strengthen-food-supply-chain-infrastructure,True,usda partners pennsylvania award 26 million strengthen food supply chain infrastructure,0.392,0.0,0.608,0,0,0,0,0,0,0,0,0,0,0.392,0.0,neutral
2023-11-27,Biden-Harris Administration Partners with Ag Producers to Strengthen Agricultural Supply Chains and Lower Food Costs,https://www.usda.gov/about-usda/news/press-releases/2023/11/27/biden-harris-administration-partners-ag-producers-strengthen-agricultural-supply-chains-and-lower,True,bidenharris administration partners ag producers strengthen agricultural supply chains lower food costs,0.159,0.152,0.69,0,0,0,0,0,0,0,0,0,0,0.159,0.152,neutral
2023-09-22,"USDA Launches Program to Support Agricultural Employers and Farmworkers, Aiming to Increase Economic and Supply Chain Resilience as Part of President Biden’s Investing in America Agenda",https://www.usda.gov/about-usda/news/press-releases/2023/09/22/usda-launches-program-support-agricultural-employers-and-farmworkers-aiming-increase-economic-and,True,usda launches program support agricultural employers farmworkers aiming increase economic supply chain resilience part president bidens investing america agenda,0.227,0.0,0.773,0,1,0,0,0,0,0,0,0,0,0.227,0.0,neutral
2023-09-13,USDA Celebrates First Year of Partnerships for Climate-Smart Commodities Market Opportunity,https://www.usda.gov/about-usda/news/press-releases/2023/09/13/usda-celebrates-first-year-partnerships-climate-smart-commodities-market-opportunity,True,usda celebrates first year partnerships climatesmart commodities market opportunity,0.481,0.0,0.519,0,0,0,0,0,0,0,0,0,0,0.481,0.0,neutral
