date,title,url,is_price_related,preprocessed_title,positive_sentiment,negative_sentiment,neutral_sentiment,rise_present,increase_present,jump_present,surge_present,climb_present,fall_present,drop_present,decrease_present,decline_present,plunge_present,weighted_positive_sentiment,weighted_negative_sentiment,predicted_price_direction
2025-03-31,Black Rifle Coffee Company appoints new Chief Commercial Officer,https://www.worldcoffeeportal.com/news/black-rifle-coffee-company-appoints-new-chief-commercial-officer/,True,black rifle coffee company appoints new chief commercial officer,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-03-29,Costa Coffee appoints new exec to lead US travel retail growth,https://www.worldcoffeeportal.com/news/costa-coffee-appoints-new-exec-to-lead-us-travel-retail-growth/,True,costa coffee appoints new exec lead us travel retail growth,0.224,0.0,0.776,0,0,0,0,0,0,0,0,0,0,0.224,0.0,neutral
2025-03-28,"Celebrating 10 years of The Amsterdam Coffee Festival, 3-5 April 2025",https://www.worldcoffeeportal.com/news/celebrating-10-years-of-the-amsterdam-coffee-festival-3-5-april-2025/,True,celebrating 10 years amsterdam coffee festival 35 april 2025,0.496,0.0,0.504,0,0,0,0,0,0,0,0,0,0,0.496,0.0,neutral
2025-03-27,Diversified store network yields strong profits for Vietnam’s Highlands Coffee,https://www.worldcoffeeportal.com/news/diversified-store-network-yields-strong-profits-for-vietnams-highlands-coffee/,True,diversified store network yields strong profits vietnams highlands coffee,0.47,0.0,0.53,0,0,0,0,0,0,0,0,0,0,0.47,0.0,neutral
2025-03-27,Jollibee Foods Corp outlines long-term coffee strategy,https://www.worldcoffeeportal.com/news/jollibee-foods-corp-outlines-long-term-coffee-strategy/,True,jollibee foods corp outlines longterm coffee strategy,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-03-25,Lagardère Travel Retail to sub-franchise Costa Coffee in Poland,https://www.worldcoffeeportal.com/news/lagardere-travel-retail-to-sub-franchise-costa-coffee-in-poland/,True,lagardère travel retail subfranchise costa coffee poland,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-03-25,India’s Café Coffee Day signs debt settlement agreement,https://www.worldcoffeeportal.com/news/indias-cafe-coffee-day-signs-debt-settlement-agreement/,True,indias café coffee day signs debt settlement agreement,0.274,0.214,0.513,0,0,0,0,0,0,0,0,0,0,0.274,0.214,neutral
2025-03-24,SSP Group to debut coffee and cocktail café concept at Perth Airport,https://www.worldcoffeeportal.com/news/ssp-group-to-debut-coffee-and-cocktail-cafe-concept-at-perth-airport/,True,ssp group debut coffee cocktail café concept perth airport,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-03-19,New York’s Rarebird Coffee eyes roastery launch after securing $1m,https://www.worldcoffeeportal.com/news/new-yorks-rarebird-coffee-eyes-roastery-launch-after-securing-1m/,True,new yorks rarebird coffee eyes roastery launch securing 1m,0.223,0.0,0.777,0,0,0,0,0,0,0,0,0,0,0.223,0.0,neutral
2025-03-19,UK’s Knoops appoints top coffee chain talent to support ambitious growth,https://www.worldcoffeeportal.com/news/knoops-appoints-top-coffee-chain-talent-to-support-ambitious-growth/,True,uks knoops appoints top coffee chain talent support ambitious growth,0.722,0.0,0.278,0,0,0,0,0,0,0,0,0,0,0.722,0.0,rise
2025-03-19,Jakarta-based Fore Coffee seeking to raise $23m after filing IPO,https://www.worldcoffeeportal.com/news/jakarta-based-fore-coffee-seeking-to-raise-23m-after-filing-ipo/,True,jakartabased fore coffee seeking raise 23m filing ipo,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-03-17,Peet’s becomes the latest US coffee chain to scrap non-dairy surcharge,https://www.worldcoffeeportal.com/news/peets-becomes-the-latest-us-coffee-chain-to-scrap-non-dairy-surcharge/,True,peets becomes latest us coffee chain scrap nondairy surcharge,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-03-14,Coffee portfolio delivers strong returns for Jollibee Foods Corp,https://www.worldcoffeeportal.com/news/coffee-portfolio-delivers-strong-returns-for-jollibee-foods-corp/,True,coffee portfolio delivers strong returns jollibee foods corp,0.32,0.0,0.68,0,0,0,0,0,0,0,0,0,0,0.32,0.0,neutral
2025-03-13,Pickup Coffee extends Caltex deal to open more petrol station stores,https://www.worldcoffeeportal.com/news/pickup-coffee-extends-caltex-deal-to-open-more-petrol-station-stores/,True,pickup coffee extends caltex deal open petrol station stores,0.158,0.0,0.842,0,0,0,0,0,0,0,0,0,0,0.158,0.0,neutral
2025-03-13,Europe overtakes US as largest export market for Costa Rican coffee,https://www.worldcoffeeportal.com/news/europe-overtakes-us-as-largest-export-market-for-costa-rican-coffee/,True,europe overtakes us largest export market costa rican coffee,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-03-12,Löfbergs signs second major hotel supply deal of 2025,https://www.worldcoffeeportal.com/news/lofbergs-signs-second-major-hotel-supply-deal-of-2025/,True,löfbergs signs second major hotel supply deal 2025,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-03-12,Luckin Coffee wins Thai trademark infringement case,https://www.worldcoffeeportal.com/news/luckin-coffee-wins-thai-trademark-infringement-case/,True,luckin coffee wins thai trademark infringement case,0.314,0.263,0.424,0,0,0,0,0,0,0,0,0,0,0.314,0.263,neutral
2025-03-12,Black Rifle Coffee Company narrows losses with focus on wholesale growth,https://www.worldcoffeeportal.com/news/black-rifle-coffee-company-narrows-losses-with-focus-on-wholesale-growth/,True,black rifle coffee company narrows losses focus wholesale growth,0.211,0.22,0.569,0,0,0,0,0,0,0,0,0,0,0.211,0.22,neutral
2025-03-12,Texas-based Farmer Bros launches first specialty coffee brand,https://www.worldcoffeeportal.com/news/texas-based-farmer-bros-launches-first-specialty-coffee-brand/,True,texasbased farmer bros launches first specialty coffee brand,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-03-12,UAE-based specialty coffee roaster secures $8.2m to fuel international growth,https://www.worldcoffeeportal.com/news/uae-based-specialty-coffee-roaster-secures-8-2m-to-fuel-international-growth/,True,uaebased specialty coffee roaster secures 82m fuel international growth,0.412,0.0,0.588,0,0,0,0,0,0,0,0,0,0,0.412,0.0,neutral
2025-03-11,Thailand’s PTG Energy to accelerate PunThai Coffee expansion in 2025,https://www.worldcoffeeportal.com/news/thailands-ptg-energy-to-accelerate-punthai-coffee-expansion-in-2025/,True,thailands ptg energy accelerate punthai coffee expansion 2025,0.231,0.0,0.769,0,0,0,0,0,0,0,0,0,0,0.231,0.0,neutral
